,FACILITY_NAME,FAC_FDR,DISTRICT_OFFICE,PENALTY_ISSUE_DATE,PENALTY_NUMBER,DISPOSITION,PENALTY_DETAIL,PENALTY_CATEGORY,APPEALED,CLASS_ASSESSED_INITIAL,CLASS_ASSESSED_FINAL,TOTAL_AMOUNT_INITIAL,TOTAL_AMOUNT_DUE_FINAL
8578,MARIN POST ACUTE,SKILLED NURSING FACILITY,Santa Rosa,2014-07-25,110010871,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
8579,LA MARIPOSA CARE & REHABILITATION CENTER,SKILLED NURSING FACILITY,Santa Rosa,2014-08-14,110010873,Open,Citation B (HSC 1424),Abuse/Facility Not Self Reported,Yes,B,,2000.0,2000.0
8580,GREENFIELD CARE CENTER OF FAIRFIELD,SKILLED NURSING FACILITY,Santa Rosa,2014-09-26,110010906,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1000.0,1000.0
8581,UKIAH POST ACUTE,SKILLED NURSING FACILITY,Santa Rosa,2014-10-01,110010928,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8582,"GRANADA REHAB & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2015-01-27,110010946,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8583,FRIENDS HOUSE,SKILLED NURSING FACILITY,Santa Rosa,2014-09-19,110010984,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8584,REDWOOD COVE HEALTHCARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2014-12-23,110011033,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8585,SANTA ROSA POST ACUTE,SKILLED NURSING FACILITY,Santa Rosa,2014-10-13,110011047,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8586,NAPA VALLEY CARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2014-10-09,110011054,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8587,PINER'S NURSING HOME,SKILLED NURSING FACILITY,Santa Rosa,2014-10-15,110011062,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,18000.0,8750.0
8588,BROADWAY VILLA POST ACUTE,SKILLED NURSING FACILITY,Santa Rosa,2015-01-13,110011099,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8589,EMPRES POST ACUTE REHABILITATION,SKILLED NURSING FACILITY,Santa Rosa,2014-11-18,110011120,Closed,Citation A (HSC 1424),Patient Care,No,A,,18000.0,18000.0
8590,"GRANADA REHAB & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2015-01-27,110011158,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8591,SONOMA VALLEY HOSPITAL D/P SNF,SKILLED NURSING FACILITY,Santa Rosa,2014-12-30,110011192,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20750.0
8592,SONOMA VALLEY HOSPITAL D/P SNF,SKILLED NURSING FACILITY,Santa Rosa,2014-12-30,110011193,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20750.0
8593,EMPRES POST ACUTE REHABILITATION,SKILLED NURSING FACILITY,Santa Rosa,2015-05-15,110011216,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8594,VINEYARD POST ACUTE,SKILLED NURSING FACILITY,Santa Rosa,2015-02-11,110011264,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8595,FAIRFIELD POST-ACUTE REHAB,SKILLED NURSING FACILITY,Santa Rosa,2015-04-01,110011267,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8596,FRIENDS HOUSE,SKILLED NURSING FACILITY,Santa Rosa,2015-03-10,110011273,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8597,"CARE MERIDIAN, LLC",CONGREGATE LIVING HEALTH FACILITY,Santa Rosa,2015-07-02,110011284,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,10000.0,6500.0
8598,THE MEADOWS OF NAPA VALLEY CARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2015-07-08,110011290,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,20000.0
8599,SUNRISE II,INTERMEDIATE CARE FACILITY-DD/H/N/CN,Santa Rosa,2015-03-27,110011332,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,Yes,B,B	,2000.0,1300.0
8600,GREENFIELDS III ICF-DDN,INTERMEDIATE CARE FACILITY-DD/H/N/CN,Santa Rosa,2015-04-23,110011340,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
8601,VINEYARD POST ACUTE,SKILLED NURSING FACILITY,Santa Rosa,2015-04-01,110011341,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8602,SUMMERFIELD HEALTHCARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2015-05-05,110011361,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8603,"THE REDWOODS, A COMMUNITY OF SENIORS",SKILLED NURSING FACILITY,Santa Rosa,2015-08-27,110011426,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8604,"CARE MERIDIAN, LLC",CONGREGATE LIVING HEALTH FACILITY,Santa Rosa,2015-07-02,110011436,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
8605,JEROLD PHELPS COMMUNITY HOSPITAL D/P SNF,SKILLED NURSING FACILITY,Santa Rosa,2015-10-22,110011473,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8606,"THE REDWOODS, A COMMUNITY OF SENIORS",SKILLED NURSING FACILITY,Santa Rosa,2015-08-27,110011502,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8607,SONOMA POST ACUTE,SKILLED NURSING FACILITY,Santa Rosa,2015-06-16,110011503,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8608,SONOMA VALLEY HOSPITAL D/P SNF,SKILLED NURSING FACILITY,Santa Rosa,2015-08-25,110011509,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8609,NAPA VALLEY CARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2015-09-18,110011524,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8610,ROCKY POINT CARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2015-08-11,110011542,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8611,SANTA ROSA POST ACUTE,SKILLED NURSING FACILITY,Santa Rosa,2015-07-02,110011588,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8612,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2015-09-09,110011594,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8613,SUNRISE I,INTERMEDIATE CARE FACILITY-DD/H/N/CN,Santa Rosa,2016-10-20,110011695,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8614,NAPA VALLEY CARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2015-10-27,110011771,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8615,ORCHARD POST ACUTE CARE,SKILLED NURSING FACILITY,Santa Rosa,2015-11-10,110011788,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1000.0,1000.0
8616,SANTA LUCIA,INTERMEDIATE CARE FACILITY-DD/H/N/CN,Santa Rosa,2015-11-16,110011800,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,Yes,B,B	,2000.0,1300.0
8617,SANTA LUCIA,INTERMEDIATE CARE FACILITY-DD/H/N/CN,Santa Rosa,2015-11-16,110011801,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,Yes,B,B	,2000.0,1300.0
8618,CRESCENT CITY SKILLED NURSING,SKILLED NURSING FACILITY,Santa Rosa,2016-10-10,110011805,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8619,CRESCENT CITY SKILLED NURSING,SKILLED NURSING FACILITY,Santa Rosa,2016-10-10,110011806,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8620,CRESCENT CITY SKILLED NURSING,SKILLED NURSING FACILITY,Santa Rosa,2016-10-10,110011807,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8621,CRESCENT CITY SKILLED NURSING,SKILLED NURSING FACILITY,Santa Rosa,2016-10-10,110011808,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8622,CRESCENT CITY SKILLED NURSING,SKILLED NURSING FACILITY,Santa Rosa,2016-10-10,110011820,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8623,CRESCENT CITY SKILLED NURSING,SKILLED NURSING FACILITY,Santa Rosa,2016-10-10,110011821,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8624,CRESCENT CITY SKILLED NURSING,SKILLED NURSING FACILITY,Santa Rosa,2016-10-10,110011822,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8625,LAUREL CREEK HEALTH CENTER,SKILLED NURSING FACILITY,Santa Rosa,2015-11-09,110011827,Closed,Citation B (HSC 1424),Patient Care,Yes,B,B	,2000.0,1300.0
8626,EMPRES POST ACUTE REHABILITATION,SKILLED NURSING FACILITY,Santa Rosa,2015-11-24,110011830,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8627,SPRING LAKE VILLAGE,SKILLED NURSING FACILITY,Santa Rosa,2015-12-18,110011872,Open,Citation A (HSC 1424),Patient Care,Yes,A,,18000.0,18000.0
8628,HEALDSBURG SENIOR LIVING COMMUNITY,SKILLED NURSING FACILITY,Santa Rosa,2018-07-10,110011875,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8629,LAUREL CREEK HEALTH CENTER,SKILLED NURSING FACILITY,Santa Rosa,2015-12-23,110011877,Open,Citation A (HSC 1424),Patient Care,Yes,A,,20000.0,20000.0
8630,WINDSOR CARE CENTER OF PETALUMA,SKILLED NURSING FACILITY,Santa Rosa,2016-03-23,110011896,Open,Citation B (HSC 1424),Patient Rights,Yes,B,,2000.0,2000.0
8631,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2016-04-05,110011899,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8632,JEROLD PHELPS COMMUNITY HOSPITAL D/P SNF,SKILLED NURSING FACILITY,Santa Rosa,2016-01-20,110011925,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8633,HEALDSBURG SENIOR LIVING COMMUNITY,SKILLED NURSING FACILITY,Santa Rosa,2016-02-05,110011937,Closed,Citation B (HSC 1424),Administration,No,B,,500.0,500.0
8634,PROFESSIONAL POST ACUTE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2016-03-08,110011954,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,15000.0
8635,PROFESSIONAL POST ACUTE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2016-03-08,110011956,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,15000.0
8636,EVERGREEN LAKEPORT HEALTHCARE,SKILLED NURSING FACILITY,Santa Rosa,2016-03-03,110011974,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8637,EMPRES POST ACUTE REHABILITATION,SKILLED NURSING FACILITY,Santa Rosa,2016-06-16,110011981,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8638,CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH,SKILLED NURSING FACILITY,Santa Rosa,2016-03-28,110011994,Closed,Citation B (HSC 1424),Medication,No,B,,2000.0,2200.0
8639,WINDSOR VALLEJO NURSING & REHABILITATION CENTER,SKILLED NURSING FACILITY,Santa Rosa,2016-05-24,110012000,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8640,PARK VIEW POST ACUTE,SKILLED NURSING FACILITY,Santa Rosa,2016-03-30,110012028,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8641,NAPA VALLEY CARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2016-03-09,110012047,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20400.0
8642,EVERGREEN LAKEPORT HEALTHCARE,SKILLED NURSING FACILITY,Santa Rosa,2016-12-29,110012048,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8643,UKIAH POST ACUTE,SKILLED NURSING FACILITY,Santa Rosa,2016-09-22,110012051,Closed,Citation B (HSC 1424),Patient Care,No,B,,1000.0,1000.0
8644,FIRCREST CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,Santa Rosa,2016-06-29,110012069,Closed,Citation B (HSC 1424),Dietary,No,B,,2000.0,2000.0
8645,JEROLD PHELPS COMMUNITY HOSPITAL D/P SNF,SKILLED NURSING FACILITY,Santa Rosa,2017-11-01,110012138,Open,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8646,"CARE MERIDIAN, LLC",CONGREGATE LIVING HEALTH FACILITY,Santa Rosa,2016-06-16,110012228,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1000.0,1000.0
8647,ABLE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,Santa Rosa,2016-05-24,110012237,Closed,Citation A (HSC 1424),Patient Rights,No,A,,10000.0,10000.0
8648,"GRANADA REHAB & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2016-06-13,110012256,Closed,Citation A (HSC 1424),Patient Care,Yes,A,B	,20000.0,20000.0
8649,CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH,SKILLED NURSING FACILITY,Santa Rosa,2016-06-15,110012260,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8650,"FORTUNA REHABILITATION & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2016-06-23,110012282,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8651,PROFESSIONAL POST ACUTE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2016-09-16,110012316,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8652,REDWOOD COVE HEALTHCARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2016-07-29,110012375,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,13000.0
8653,CREEKSIDE REHABILITATION & BEHAVIORAL HEALTH,SKILLED NURSING FACILITY,Santa Rosa,2016-10-25,110012382,Closed,Citation AA (HSC 1424),Patient Care,Yes,AA,A,100000.0,32279.0
8654,ARBOL RESIDENCES OF SANTA ROSA,SKILLED NURSING FACILITY,Santa Rosa,2017-06-01,110012392,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8655,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2016-08-16,110012467,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,14000.0
8656,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2016-08-16,110012472,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,14000.0
8657,FIRCREST CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,Santa Rosa,2016-09-07,110012498,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,13000.0
8658,FIRCREST CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,Santa Rosa,2016-09-07,110012499,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,13000.0
8659,PINE RIDGE CARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2016-08-17,110012502,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2250.0
8660,ROCKY POINT CARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2016-09-15,110012513,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8661,FIRCREST CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,Santa Rosa,2016-09-21,110012518,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8662,REDWOOD COVE HEALTHCARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2016-09-13,110012555,Closed,Citation B (HSC 1424),Administration,No,B,,1000.0,1000.0
8663,WINDSOR VALLEJO NURSING & REHABILITATION CENTER,SKILLED NURSING FACILITY,Santa Rosa,2016-12-28,110012568,Closed,Citation A (HSC 1424),Patient Care,Yes,A,B	,20000.0,2000.0
8664,PROFESSIONAL POST ACUTE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2017-01-31,110012609,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8665,FIRCREST CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,Santa Rosa,2016-10-18,110012613,Closed,Citation B (HSC 1424),Patient Rights,No,B,,2000.0,2000.0
8666,FIRCREST CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,Santa Rosa,2017-01-18,110012614,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,13000.0
8667,THE TAMALPAIS,SKILLED NURSING FACILITY,Santa Rosa,2016-12-12,110012664,Closed,Citation B (HSC 1424),Patient Care,Yes,B,,2000.0,2000.0
8668,PINE RIDGE CARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2016-11-29,110012731,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8669,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2016-12-28,110012744,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,14000.0
8670,APPLE VALLEY POST-ACUTE REHAB,SKILLED NURSING FACILITY,Santa Rosa,2016-12-13,110012748,Open,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8671,BROADWAY VILLA POST ACUTE,SKILLED NURSING FACILITY,Santa Rosa,2016-12-28,110012774,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8672,"GRANADA REHAB & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2017-01-13,110012818,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8673,"GRANADA REHAB & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2017-01-13,110012819,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8674,"THE REDWOODS, A COMMUNITY OF SENIORS",SKILLED NURSING FACILITY,Santa Rosa,2017-02-06,110012861,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,21100.0
8675,FIFTY-O-ONE PARKHURST,INTERMEDIATE CARE FACILITY-DD/H/N/CN,Santa Rosa,2017-01-18,110012865,Closed,Citation B (HSC 1424),Medication,No,B,,2000.0,2000.0
8676,"EUREKA REHAB & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2017-02-28,110012902,Open,Citation A (HSC 1424),Staffing,Yes,A,A,20000.0,14000.0
8677,"EUREKA REHAB & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2017-02-28,110012903,Open,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,14000.0
8678,"EUREKA REHAB & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2017-02-28,110012904,Open,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,14000.0
8679,"EUREKA REHAB & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2017-02-28,110012905,Open,Citation A (HSC 1424),Administration,Yes,A,A,20000.0,14000.0
8680,NAPA VALLEY CARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2017-02-07,110012906,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1000.0,1000.0
8681,ARBOL RESIDENCES OF SANTA ROSA,SKILLED NURSING FACILITY,Santa Rosa,2017-02-16,110012907,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,13000.0
8682,THE MEADOWS OF NAPA VALLEY CARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2017-02-28,110012915,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8683,THE MEADOWS OF NAPA VALLEY CARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2017-02-28,110012917,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8684,"EUREKA REHAB & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2017-03-14,110012936,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8685,"EUREKA REHAB & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2017-02-28,110012991,Open,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,14000.0
8686,"THE REDWOODS, A COMMUNITY OF SENIORS",SKILLED NURSING FACILITY,Santa Rosa,2017-03-16,110012994,Closed,Citation B (HSC 1424),Administration,No,B,,2000.0,2000.0
8687,BROADWAY VILLA POST ACUTE,SKILLED NURSING FACILITY,Santa Rosa,2017-08-24,110012996,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,6000.0
8688,"EUREKA REHAB & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2017-02-28,110012997,Open,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,14000.0
8689,"EUREKA REHAB & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2017-02-28,110012998,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,14000.0
8690,"EUREKA REHAB & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2017-02-28,110012999,Closed,Citation A (HSC 1424),Patient Care,Yes,A,A,20000.0,14000.0
8691,SMITH RANCH SKILLED NURSING & REHABILITATION CENTER,SKILLED NURSING FACILITY,Santa Rosa,2017-12-27,110013047,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8692,HEALDSBURG SENIOR LIVING COMMUNITY,SKILLED NURSING FACILITY,Santa Rosa,2017-03-30,110013071,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8693,CLOVERDALE HEALTHCARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2017-06-01,110013108,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8694,ALDERSLY SKILLED NURSING FACILITY,SKILLED NURSING FACILITY,Santa Rosa,2017-12-14,110013127,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8695,ABLE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,Santa Rosa,2017-05-12,110013134,Closed,Citation A (HSC 1424),Patient Care,No,A,,6000.0,18000.0
8696,REDWOOD COVE HEALTHCARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2017-05-30,110013184,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8697,NAPA VALLEY CARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2018-09-14,110013194,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8698,NAPA VALLEY CARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2018-09-14,110013195,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8699,LAUREL CREEK HEALTH CENTER,SKILLED NURSING FACILITY,Santa Rosa,2017-07-20,110013307,Closed,Citation B (HSC 1424),Patient Rights,No,B,,2000.0,2000.0
8700,EVERGREEN LAKEPORT HEALTHCARE,SKILLED NURSING FACILITY,Santa Rosa,2017-11-28,110013326,Open,Citation B (HSC 1424),Patient Rights,No,B,,2000.0,2000.0
8701,NORTHBROOK HEALTHCARE CENTER,SKILLED NURSING FACILITY,Santa Rosa,2017-08-28,110013413,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8702,EMPRES POST ACUTE REHABILITATION,SKILLED NURSING FACILITY,Santa Rosa,2017-08-29,110013447,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8703,"SEAVIEW REHABILITATION & WELLNESS CENTER, LP",SKILLED NURSING FACILITY,Santa Rosa,2018-08-03,110013449,Open,Citation A (HSC 1424),Medication,Yes,A,,20000.0,20000.0
8704,ARBOL RESIDENCES OF SANTA ROSA,SKILLED NURSING FACILITY,Santa Rosa,2018-06-18,110013457,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8705,EVERGREEN LAKEPORT HEALTHCARE,SKILLED NURSING FACILITY,Santa Rosa,2018-07-19,110013517,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8706,STONEHAVEN,INTERMEDIATE CARE FACILITY-DD/H/N/CN,Santa Rosa,2017-11-14,110013592,Closed,Citation B (HSC 1424),Patient Rights,No,B,,1000.0,1000.0
8707,EVERGREEN LAKEPORT HEALTHCARE,SKILLED NURSING FACILITY,Santa Rosa,2018-07-19,110013619,Closed,Citation A (HSC 1424),Patient Care,No,A,,20000.0,20000.0
8708,MUSTARD SEED,INTERMEDIATE CARE FACILITY-DD/H/N/CN,Santa Rosa,2018-01-24,110013703,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,1000.0,1000.0
8709,EVERGREEN LAKEPORT HEALTHCARE,SKILLED NURSING FACILITY,Santa Rosa,2018-03-16,110013766,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8710,EVERGREEN LAKEPORT HEALTHCARE,SKILLED NURSING FACILITY,Santa Rosa,2018-03-16,110013767,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8711,ADULTS IN COMMUNITY TRANSITIONS- ACT 1,INTERMEDIATE CARE FACILITY-DD/H/N/CN,Santa Rosa,2018-03-26,110013822,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8712,ADULTS IN COMMUNITY TRANSITIONS- ACT 1,INTERMEDIATE CARE FACILITY-DD/H/N/CN,Santa Rosa,2018-03-26,110013824,Closed,Citation B (HSC 1424),Abuse/Facility Not Self Reported,No,B,,2000.0,2000.0
8713,BAIRD HOUSE,INTERMEDIATE CARE FACILITY-DD/H/N/CN,Santa Rosa,2018-03-02,110013832,Closed,Citation B (HSC 1424),Problem Transfer,No,B,,2000.0,2000.0
8714,ARBOL RESIDENCES OF SANTA ROSA,SKILLED NURSING FACILITY,Santa Rosa,2018-06-18,110013899,Closed,Citation B (HSC 1424),Patient Care,No,B,,2000.0,2000.0
8715,FIRCREST CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,Santa Rosa,2018-04-03,110013921,Open,Citation B (HSC 1424),Patient Rights,No,B,,2000.0,2000.0
8716,FIRCREST CONVALESCENT HOSPITAL,SKILLED NURSING FACILITY,Santa Rosa,2018-04-03,110013922,Open,Citation B (HSC 1424),Physical Environment,No,B,,2000.0,2000.0
